companyName,homepageUrl,url,sourceHint,seedStatus,termsReview,notes
NAVER,https://www.navercorp.com,https://recruit.navercorp.com/rcrt/list.do,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 목록
Kakao,https://www.kakaocorp.com,https://careers.kakao.com/jobs,CUSTOM,SEED,MANUAL_REQUIRED,공식 영입 목록
Kakao Entertainment,https://www.kakaoent.com,https://careers.kakaoent.com/ko/job,CUSTOM,SEED,MANUAL_REQUIRED,공식 영입 목록
Coupang,https://www.coupang.com,https://www.coupang.jobs/kr/jobs/,CUSTOM,SEED,MANUAL_REQUIRED,한국 채용 목록
Woowa Brothers,https://www.woowahan.com,https://career.woowahan.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
Toss,https://toss.im,https://toss.im/career,CUSTOM,SEED,MANUAL_REQUIRED,토스 커뮤니티 채용
Daangn,https://www.daangn.com,https://about.daangn.com/jobs/,CUSTOM,SEED,MANUAL_REQUIRED,당근 팀 채용
Kurly,https://www.kurly.com,https://recruit.kurly.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
Yanolja,https://www.yanolja.com,https://careers.yanolja.co/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
KakaoBank,https://www.kakaobank.com,https://recruit.kakaobank.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
KakaoPay,https://www.kakaopay.com,https://kakaopay.recruiter.co.kr/career/home,RECRUITER,SEED,MANUAL_REQUIRED,공식 연결 채용 페이지
MUSINSA,https://www.musinsa.com,https://www.musinsacareers.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
Zigbang,https://www.zigbang.com,https://career.zigbang.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
Bucketplace,https://www.bucketplace.com,https://www.bucketplace.com/careers/,CUSTOM,SEED,MANUAL_REQUIRED,오늘의집 운영사 채용
RIDI,https://ridicorp.com,https://ridi.career.greetinghr.com/,GREETING,SEED,MANUAL_REQUIRED,공개 그리팅 채용 페이지
SOCAR,https://www.socarcorp.kr,https://www.socarcorp.kr/careers,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 페이지
WATCHA,https://watcha.com,https://watcha.team/career,CUSTOM,SEED,MANUAL_REQUIRED,공식 팀 채용 페이지
Sendbird,https://sendbird.com,https://sendbird.com/careers,CUSTOM,SEED,MANUAL_REQUIRED,한국 창업 글로벌 SaaS
Moloco,https://www.moloco.com,https://www.moloco.com/careers,CUSTOM,SEED,MANUAL_REQUIRED,한국 창업 글로벌 AI 기업
Dunamu,https://www.dunamu.com,https://careers.dunamu.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
Bithumb,https://www.bithumbcorp.com,https://www.bithumbcorp.com/company/recruit,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 페이지
Banksalad,https://www.banksalad.com,https://www.banksalad.com/recruit,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 페이지
NHN,https://www.nhn.com,https://recruit.nhn.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
SK planet,https://www.skplanet.com,https://careers.skplanet.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
11st,https://www.11stcorp.com,https://careers.11stcorp.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
NCSOFT,https://www.ncsoft.com,https://careers.ncsoft.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
NEXON,https://company.nexon.com,https://career.nexon.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
KRAFTON,https://www.krafton.com,https://www.krafton.com/careers/jobs/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 목록
Smilegate,https://www.smilegate.com,https://careers.smilegate.com/,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 홈페이지
Pearl Abyss,https://www.pearlabyss.com,https://www.pearlabyss.com/ko-KR/Company/Careers/Intro,CUSTOM,SEED,MANUAL_REQUIRED,공식 채용 페이지
